fatoOuFake, tituloNoticia, link
0,É #FAKE post com Manuela D'Ávila dizendo que 0,É mais popular que Jesus e que o cristianismo vai desaparecer,https://g1.globo.com/fato-ou-fake/noticia/2018/10/05/e-fake-post-com-manuela-davila-dizendo-que-e-mais-popular-que-jesus-e-que-o-cristianismo-vai-desaparecer.ghtml
0,É #FAKE imagem que mostra diálogo entre Sérgio Machado e Renan Calheiros com menção a Bolsonaro,https://g1.globo.com/fato-ou-fake/noticia/2018/10/05/e-fake-imagem-que-mostra-dialogo-entre-sergio-machado-e-renan-calheiros-com-mencao-a-bolsonaro.ghtml
0,É #FAKE que empresas prometem demitir 1 milhão se esquerda vencer eleição,https://g1.globo.com/fato-ou-fake/noticia/2018/10/05/e-fake-que-empresas-prometem-demitir-1-milhao-se-esquerda-vencer-eleicao.ghtml
0,É #FAKE imagem que mostra Flávio Bolsonaro com camiseta com ofensas a nordestinos,https://g1.globo.com/fato-ou-fake/noticia/2018/10/05/e-fake-imagem-que-mostra-flavio-bolsonaro-com-camiseta-com-ofensas-a-nordestinos.ghtml
0,É #FAKE que empresas prometem demitir 1 milhão se esquerda vencer eleição,https://g1.globo.com/fato-ou-fake/noticia/2018/10/05/e-fake-que-empresas-prometem-demitir-1-milhao-se-esquerda-vencer-eleicao.ghtml
0,É #FAKE mensagem que diz que mesário pode falsificar assinatura de eleitores de Bolsonaro e, assim, anular o voto,https://g1.globo.com/fato-ou-fake/noticia/2018/10/03/e-fake-mensagem-que-diz-que-mesario-pode-falsificar-assinatura-de-eleitores-de-bolsonaro-e-assim-anular-o-voto.ghtml
0,É #FAKE postagem que diz que empresário não pagará mais salário mínimo se Bolsonaro for eleito,https://g1.globo.com/fato-ou-fake/noticia/2018/10/03/e-fake-postagem-que-diz-que-empresario-nao-pagara-mais-salario-minimo-se-bolsonaro-for-eleito.ghtml
0,É #FAKE mensagem que diz que eleitor pode votar mesmo se não tiver feito biometria obrigatória,https://g1.globo.com/fato-ou-fake/noticia/2018/10/02/e-fake-mensagem-que-diz-que-eleitor-pode-votar-mesmo-se-nao-tiver-feito-biometria-obrigatoria.ghtml
0,É #FAKE que Haddad disse que criança vira propriedade do Estado aos 5 anos e pode ter seu gênero escolhido,https://g1.globo.com/fato-ou-fake/noticia/2018/10/02/e-fake-que-haddad-disse-que-crianca-vira-propriedade-do-estado-aos-5-anos-e-pode-ter-seu-genero-escolhido.ghtml
0,É #FAKE que Chico Xavier previu a chegada do candidato Jair Bolsonaro à Presidência,https://g1.globo.com/fato-ou-fake/noticia/2018/10/02/e-fake-que-chico-xavier-previu-a-chegada-do-candidato-jair-bolsonaro-a-presidencia.ghtml
0,É #FAKE imagem em que Manuela D'Ávila aparece com camiseta 'Jesus 0,É travesti',https://g1.globo.com/fato-ou-fake/noticia/2018/10/02/e-fake-imagem-em-que-manuela-davila-aparece-com-camiseta-jesus-e-travesti.ghtml
0,É #FAKE que Jean Wyllys declarou que pretende criar lei para obrigar casamento gay em igrejas,https://g1.globo.com/fato-ou-fake/noticia/2018/10/02/e-fake-que-jean-wyllys-declarou-que-pretende-criar-lei-para-obrigar-casamento-gay-em-igrejas.ghtml
0,É #FAKE comunicado que convoca eleitores do PT a votar apenas no dia 8 de outubro,https://g1.globo.com/fato-ou-fake/noticia/2018/10/02/e-fake-comunicado-que-convoca-eleitores-do-pt-a-votar-apenas-no-dia-8-de-outubro.ghtml
0,É #FAKE que Universidade do Sul da Califórnia fez pesquisa apontando que não há previsão de 2º turno na eleição presidencial,https://g1.globo.com/fato-ou-fake/noticia/2018/10/02/e-fake-que-universidade-do-sul-da-california-fez-pesquisa-apontando-que-nao-ha-previsao-de-2o-turno-na-eleicao-presidencial.ghtml
0,É #FAKE imagem que mostra manchete sobre pesquisa Ibope para presidente,https://g1.globo.com/fato-ou-fake/noticia/2018/10/01/e-fake-imagem-que-mostra-manchete-sobre-pesquisa-ibope-para-presidente.ghtml
0,É #FAKE que voto 0,É anulado se eleitor escolher apenas presidente e votar em branco para os outros cargos,https://g1.globo.com/fato-ou-fake/noticia/2018/10/01/e-fake-que-voto-e-anulado-se-eleitor-escolher-apenas-presidente-e-votar-em-branco-para-os-outros-cargos.ghtml
0,É #FAKE mensagem que cita a Globo e diz que manifestação pró-Bolsonaro 0,É a maior da história,https://g1.globo.com/fato-ou-fake/noticia/2018/10/01/e-fake-mensagem-que-diz-que-manifestacao-pro-bolsonaro-e-a-maior-da-historia.ghtml
0,É #FAKE que imagem de ato contra Bolsonaro no Largo da Batata 0,É do carnaval de 2017,https://g1.globo.com/fato-ou-fake/noticia/2018/10/01/e-fake-que-imagem-de-ato-contra-bolsonaro-no-largo-da-batata-e-do-carnaval-de-2017.ghtml
0,É #FAKE versão de que imagem de protesto no Rio mostra prédio que desabou,https://g1.globo.com/fato-ou-fake/noticia/2018/09/30/e-fake-mensagem-que-diz-que-protesto-nao-aconteceu-no-rio-porque-mostra-predio-desabado.ghtml
0,É #FAKE print de post que diz que TJ-SP expediu mandado de prisão de ex-prefeito de Araras,https://g1.globo.com/fato-ou-fake/noticia/2018/09/29/e-fake-print-de-post-que-diz-que-tj-sp-expediu-mandado-de-prisao-de-ex-prefeito-de-araras.ghtml
0,É #FAKE documento atribuído ao Exército que exige perícia nas urnas eletrônicas antes e depois das eleições,https://g1.globo.com/fato-ou-fake/noticia/2018/09/29/e-fake-documento-atribuido-ao-exercito-que-exige-pericia-nas-urnas-eletronicas-antes-e-depois-das-eleicoes.ghtml
0,É #FAKE que Marcelo Adnet gravou áudio de Bolsonaro gritando em hospital,https://g1.globo.com/fato-ou-fake/noticia/2018/09/28/e-fake-que-marcelo-adnet-gravou-audio-de-bolsonaro-gritando-em-hospital.ghtml
0,É #FAKE que vídeo mostra multidão em frente a hospital onde está Bolsonaro,https://g1.globo.com/fato-ou-fake/noticia/2018/09/28/e-fake-que-video-mostra-multidao-em-frente-a-hospital-onde-esta-bolsonaro.ghtml
0,É #FAKE que vice do presidenciável João Amoêdo pede votos para Bolsonaro em vídeo,https://g1.globo.com/fato-ou-fake/noticia/2018/09/27/e-fake-que-vice-do-presidenciavel-joao-amoedo-pede-votos-a-bolsonaro-em-video.ghtml
0,É #FAKE que revistas publicaram capas com declarações de diretor da OEA sobre fraudes nas urnas,https://g1.globo.com/fato-ou-fake/noticia/2018/09/27/e-fake-que-revistas-publicaram-capas-com-declaracoes-de-diretor-da-oea-sobre-fraudes-nas-urnas.ghtml
0,É #FAKE que deputado Paulo Ramos ofereceu dinheiro para professoras fazerem campanha contra Bolsonaro em vídeo,https://g1.globo.com/fato-ou-fake/noticia/2018/09/26/e-fake-que-deputado-paulo-ramos-ofereceu-dinheiro-para-professoras-fazerem-campanha-contra-bolsonaro-em-video.ghtml
